building_name	bldg_id	no_of_cluster_spec_rms_reported	geo_dist	org_id	prek_cap	incl_class	no_of_cluster_rms_needed	organization_name	enroll	target_capacity	target_utilization
P.S. 49 - X	X049		7	X723				X723 SPED - X	24	16	150
P.S. 754 (OLD IS155) - X	X155		7	X754	0		0	X754 SPED - X	467	505	92
P.S. 754 (OLD IS155) - X	X155		7	XADM				FRIENDS - X			
J.H.S. 222 - X	X139		7	XCBO				ASPIRA OF N.Y. - X			
MOTT HAVEN EDUCATIONAL CAMPUS - X	X790		7	XCBO				UNITED WAY - X			
HEALTH OPPORTUNITIES HS - X	X884		7	XCBO				C.B.O. - X			
CROTONA ACADEMY - X	X963		7	XCBO				SOBRO - X			
SAMUEL GOMPERS VOC HS - X	X655		7	XUFT				UFT USE - X			
I.S. 101 - X	X101		8	X010	0	*	0	X010 SPED - X	167	137	122
P.S. 152 - X	X152		8	X010				X010 SPED - X	30	30	100
P.S. 14 - X**	X014	1	8	X014	0		6	P.S. 14 - X	507	413	147
P.S. 14 TRANSPORTABLE - X	X947		8	X014				P.S. 14 - X	100		
P.S. 36 - X	X036	5	8	X036	32		3	P.S. 36 - X	704	747	94
P.S. 48 - X	X048	7	8	X048	90		4	P.S. 48 - X	765	731	105
P.S. 48 AX (HNTS PNT ECC1)-BRONX	X848		8	X048				P.S. 48 - X	90	187	48
P.S. 62 - X	X062	3	8	X062	53		4	P.S. 62 - X	766	768	100
P.S. 69  - X	X069	2	8	X069	36		3	P.S. 69 - X	263	320	82
P.S. 69 MINISCHOOL - X	X869		8	X069				P.S. 69 - X	198	135	147
P.S. 69  ANNEX - X	X880		8	X069				P.S. 69 - X	128	97	132
P.S. 71 - X**	X071	6	8	X071	0		10	P.S. 71 - X	1561	1326	128
P.S. 71 TRANSPORTABLE - X	X948		8	X071				P.S. 71 - X	137		
P.S. 72 - X	X072	6	8	X072	70		4	P.S. 72 - X	896	840	107
P.S. 75 - X	X075	4	8	X075	36		3	P.S. 75 - X	579	676	86
P.S. 93 - X	X093	2	8	X093	69		3	P.S. 93 - X	338	364	93
P.S. 93 MINISCHOOL - X	X893		8	X093				P.S. 93 - X	54	171	32
P.S. 100 - X	X100	4	8	X100	18		3	P.S. 100 - X	596	615	97
I.S. 101 - X	X101	5	8	X101			0	I.S. 101 - X	486	559	87
P.S. 107 - X	X107	5	8	X107	18		3	P.S. 107 - X	510	638	80
P.S. 119 - X**	X119	4	8	X119	72		8	P.S. 119 - X	562	492	135
I.S. 125 - X	X125		8	X119				P.S. 119 - X	373	495	75
P.S. 119 TRANSPORTABLE - X	X915		8	X119				P.S. 119 - X	100		
I.S. 123 - X	X123	4	8	X123			0	I.S. 123 - X	505	781	65
I.S. 125 - X	X125	0	8	X125			0	I.S. 125 - X	462	552	84
P.S. 130 - X	X130	3	8	X130	18		3	P.S. 130 - X	496	480	103
I.S. 131 - X	X131	8	8	X131			0	I.S. 131 - X	725	1022	71
P.S. 138 - X**	X138	1	8	X138	0		8	P.S. 138 - X	794	561	150
P.S. 138 TRANSPORTABLE - X	X938		8	X138				P.S. 138 - X	48		
P.S. 140 - X	X140	3	8	X140	54		3	P.S. 140 - X	647	742	87
P.S. 146 - X	X146	3	8	X146	36		3	P.S. 146 - X	461	475	97
P.S. 152 - X	X152	2	8	X152	77		4	P.S. 152 - X	744	756	98
I.S. 123 MINISCHOOL - X	X823		8	X152				P.S. 152 - X	233	146	160
P.S. 182 - X	X182	6	8	X182	50		4	P.S. 182 - X	986	927	106
THE CASITA MARIA CENTER FOR ARTS AND EDUCATION - X	X392		8	X186		"#"		X186 SPED - X	8	0	0
P.S. 140 MINISCHOOL - X	X840		8	X186				X186 SPED - X			
I.S. 301 - X	X120		8	X188		*		X188 SPED - X	156	221	71
JANE ADDAMS HS - X**	X650	3	8	X202			0	NEW VISIONS CHARTER HS FOR ADVANCED MATH AND SCIENCE, II	234	322	73
THE CASITA MARIA CENTER FOR ARTS AND EDUCATION - X	X392	7	8	X269			0	M.S./H.S. 269 - X	540	646	84
I.S. 174 - X	X174	4	8	X282			0	WOMENS ACADEMY OF EXCELLENCE - X	395	449	88
HERBERT H. LEHMAN HS - X	X405	2	8	X293			0	RENAISSANCE HS FOR MUS THEATRE - X	454	440	103
ADLAI E. STEVENSON HS - X	X450	0	8	X295			0	GATEWAY SCH FOR RES & TECH - X	167	419	40
I.S. 301 - X	X120	2	8	X301			0	I.S. 301 - X	222	500	44
I.S. 302 - X	X052	6	8	X302			0	I.S. 302 - X	590	896	66
I.S. 101 - X	X101	0	8	X304	72		3	P.S. 304 - X	561	483	116
ADLAI E. STEVENSON HS - X	X450	6	8	X305			0	P N ACAD FOR ARCH & WORLD STUD - X	335	480	70
ADLAI E. STEVENSON HS - X	X450	0	8	X312			0	MILLENIUM ART ACADEMY - X	496	383	130
HERBERT H. LEHMAN HS - X	X405	0	8	X320			0	PELHAM LAB HIGH SCHOOL	95	170	56
NEW SCH FOR ARTS AND SCIENCE - X	X039	2	8	X332			0	HOLCOMBE L. RUCKER SCHOOLOF COMMUNITY RESEARCH - X	261	399	65
P.S. 333 - X	X060	1	8	X333	18		3	P.S. 333 - X	432	519	83
P.S. 333 - X	X060	3	8	X335	18		3	P.S. 335 - X	274	284	96
I.S. 123 - X	X123	0	8	X337			0	I.S. 337 - X	319	405	79
I.S. 201 - X	X074	6	8	X345	0		3	HYDE LEADERSHIP CHARTER SCHOOL - X	700	556	126
HERBERT H. LEHMAN HS - X	X405	0	8	X348			0	SCHUYLERVILLE PREPARATORY HIGH SCHOOL	95	138	69
HERBERT H. LEHMAN HS - X	X405	0	8	X349			0	BRONX RIVER HIGH SCHOOL	101	169	60
I.S. 201 - X	X074		8	X352		*		X352 SPED - X	97	91	107
P.S. 75 - X	X075		8	X352	0	*	0	X352 SPED - X	173	185	94
P.S. 93 - X	X093	0	8	X362	0		1	ICAHN CHARTER SCHOOL 7	108	116	93
I.S. 192 - X	X192	4	8	X366			0	I.S. 366 - X	160	472	34
I.S. 174 - X	X174	8	8	X367			0	ARCHIMEDES ACADEMY FOR MATH  - X	637	751	85
I.S. 192 - X	X192	6	8	X371			0	I.S. 371 - X	290	456	64
I.S. 174 - X	X174	3	8	X375			0	BRONX MATH PREP - X	284	344	83
ADLAI E. STEVENSON HS - X	X450	3	8	X376			0	ANTONIA PANTOJA PREP ACADEMY - X	466	606	77
ADLAI E. STEVENSON HS - X	X450	0	8	X377			0	BRONX COMMUNITY HIGH SCHOOL	198	296	67
P.S. 146 - X	X146	3	8	X380	0		2	SUCCESS ACADEMY CHARTER SCHOOL - X 3	204	140	146
HERBERT H. LEHMAN HS - X	X405	36	8	X405			0	HERBERT H. LEHMAN HS - X	2059	2233	92
I.S. 201 - X	X074	5	8	X424			0	I.S. 424 - X	361	642	56
ADLAI E. STEVENSON HS - X	X450	1	8	X432			0	BRONX BRIDGES COMMUNITY SCHOOL - X	313	510	61
I.S. 131 - X	X131	3	8	X448			0	SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP - X	305	415	73
ADLAI E. STEVENSON HS - X	X450	2	8	X452			0	BRONX GUILD HS - X	315	385	82
I.S. 192 - X	X192	2	8	X467			0	MOTT HALL COMMUNITY SCHOOL - X	262	415	63
I.S. 302 - X	X052	3	8	X487	0		3	GIRLS PREP CHARTER SCHOOL - X	450	458	98
SOUNDVIEW EDUCATIONAL CAMPUS - X	X972	5	8	X519			0	F R DE GAUTIER LAW & PUB STUD - X	341	410	83
NEW SCH FOR ARTS AND SCIENCE - X	X039	2	8	X530			0	BANANA KELLY COMM. LEARNING CTR-X	364	547	67
SOUNDVIEW EDUCATIONAL CAMPUS - X	X972	5	8	X537			0	BRONX ARENA HIGH SCHOOL - X	214	368	58
ADLAI E. STEVENSON HS - X	X450	1	8	X540			0	HS FOR COMM RESEARCH & LRNG - X	38	98	39
HERBERT H. LEHMAN HS - X	X405	2	8	X558			0	H.S. 558 - X	251	288	87
JANE ADDAMS HS - X**	X650	5	8	X559			0	H.S. 559 - X	161	316	51
ADLAI E. STEVENSON HS - X	X450	2	8	X561			0	H.S. 561 - X	195	269	72
I.S. 125 - X	X125	0	8	X562			0	I.S. 562 - X	201	136	148
LAFAYETTE ACADEMIES - X	X988		8	X607				ALTERNATE LEARNING CENTER MID LVL - X			
JANE ADDAMS HS - X**	X650	3	8	X650			0	JANE ADDAMS VOC HS - X	319	487	66
JANE ADDAMS HS TRANSPORTABLE - X	X962		8	X650				JANE ADDAMS VOC HS - X	0		
HERBERT H. LEHMAN HS - X	X405		8	X721		"#"		X721 SPED - X	36	0	0
LAFAYETTE ACADEMIES - X	X988		8	X966				SUSPENSION CENTER SCHOOL - X			
ADLAI E. STEVENSON HS TRANS-X	X922		8	X996				ALTERNATIVE LEARNING CENTER - X	0		
REGION 2 SUSPENSION CENTER - X	X965		8	X997				ALTERNATIVE LEARNING CENTER - X			
REGION 2 SUSPENSION CENTER - X	X965		8	XADM				REGION 2 SUSPENSION - X			
NEW SCH FOR ARTS AND SCIENCE - X	X039		8	XCBO				CHILDREN AID SOCIETY / BUILDON - X			
P.S. 75 - X	X075		8	XCBO				EPISCOPAL SOCIAL SERVICES - X			
I.S. 125 - X	X125		8	XCBO				RAINBOW PROGRAM - X			
P.S. 140 - X	X140		8	XCBO				KIPS BAY BOYS & GIRLS CLUB - X			
I.S. 192 - X	X192		8	XCBO				BEACON/RESOURCE CTR - X			
P.S. 333 - X	X060		8	XSBH				URBAN HEALTH CLINIC - X			
I.S. 123 - X	X123		8	XSFS				FOOD SERVICES - X			
I.S. 301 - X	X120		8	XUFT				UFT USE - X			
I.S. 125 - X	X125		8	XUFT				UFT USE - X			
P.S. 132 - X	X132		9	K755				ADULT AND CONTINUING EDUCATION			
MORRIS HS - X**	X400		9	M984				LYFE			
WILLIAM H. TAFT HS - X	X410		9	M984				LYFE			
P.S. 204 ANNEX - X	X980		9	Q950				PATHWAYS TO GRADUATION - Q	134	77	174
P.S. 4 - X	X004	10	9	X004	0		3	P.S. 4 - X	357	445	80
P.S. 4 ANNEX (P171 ECC) - X	X171		9	X004				P.S. 4 - X	150	259	58
DOE NEW SETTLEMENT COMMUNITY CAMPUS - X	X240		9	X010				X010 SPED - X	48	56	86
P.S. 11 - X	X011	2	9	X011	0		4	P.S. 11 - X	462	507	91
P.S. 11 ANNEX (P172 ECC) - X	X172		9	X011				P.S. 11 - X	293	227	129
I.S. 22 - X	X022	6	9	X022			0	I.S. 22 - X	570	777	73
P.S. 28 - X**	X028	6	9	X028	35		6	P.S. 28 - X	736	866	85
P.S. 28 TRANSPORTABLE - X	X928		9	X028				P.S. 28 - X	0		
P.S. 35 - X	X035	1	9	X035	0		3	P.S. 35 - X	661	480	138
P.S. 42 - X	X042	6	9	X042	33		3	P.S. 42 - X	460	659	70
P.S. 53 - X	X053	3	9	X053	35		5	P.S. 53 - X	850	992	86
P.S. 53 MINISCHOOL #1 - X	X851		9	X053				P.S. 53 - X	230	221	104
P.S. 53 MINISCHOOL #2 - X	X874		9	X053				P.S. 53 - X	240	127	189
P.S. 55 - X	X055	4	9	X055	36		3	P.S. 55 - X	684	781	88
P.S. 58 - X	X058	3	9	X058	0		3	P.S. 58 - X	456	580	79
P.S. 63 - X	X063	5	9	X063	35		3	P.S. 63 - X	588	866	68
P.S. 64 - X**	X064	1	9	X064	0		6	P.S. 64 - X	470	444	106
P.S. 64 TRANSPORTABLE - X	X924		9	X064				P.S. 64 - X	0		
P.S. 70 - X	X070	4	9	X070	0		5	P.S. 70 - X	1188	1081	110
P.S. 70 MINISCHOOL - X	X870		9	X070				P.S. 70 - X	200	224	89
P.S. 73 - X	X073	2	9	X073	54		4	P.S. 73 - X	737	666	111
P.S. 73 MINISCHOOL - X	X873		9	X073				P.S. 73 - X	135	115	117
P.S. 88 - X	X088	1	9	X088	0		2	P.S. 88 - X	214	282	76
P.S. 109 - X	X109	3	9	X109	38		4	P.S. 109 - X	573	512	112
P.S. 109 MINISCHOOL - X	X899		9	X109				P.S. 109 - X	246	219	112
P.S. 110 - X	X110	3	9	X110	36		3	P.S. 110 - X	471	468	101
P.S. 114 - X	X114	0	9	X114	0		4	P.S. 114 - X	877	703	125
I.S. 117 - X	X117	7	9	X117			0	I.S. 117 - X	641	944	68
P.S. 126 (ECF) - X	X126	2	9	X126	35		3	P.S. 126 - X	704	926	76
P.S. 110 - X	X110	2	9	X128			0	M.S. 128 - X	363	386	94
P.S. 132 - X	X132	7	9	X132	0		3	P.S. 132 - X	492	661	74
P.S. 4 - X	X004	0	9	X133	0		1	ICAHN CHARTER SCHOOL 6	145	129	112
I.S. 145 - X	X145	3	9	X145			0	I.S. 145 - X	418	673	62
P.S. 163 - X**	X163	0	9	X163	0		6	P.S. 163 - X	404	276	213
P.S. 163 TRANSPORTABLE - X	X933		9	X163				P.S. 163 - X	185		
P.S. 170 (ECC) - X	X170	0	9	X170	0		3	P.S. 170 - X	283	149	190
P.S. 63 MINISCHOOL - X	X862	0	9	X177			0	MOTT HALL CHARTER SCHOOL	148	122	121
P.S. 199 - X	X104	3	9	X199	54		4	P.S. 199 - X	797	833	96
MORRIS HEIGHTS EDUCATIONAL COMPLEX - X	X338	3	9	X204	36		3	P.S. 204 - X	583	546	107
I.S. 219 (OLD 148) - X	X148	0	9	X215	0		3	I.S. 215 - X	335	394	85
P.S./I.S. 218 - X	X235	4	9	X218	0		4	P.S./I.S. 218 - X	930	866	107
I.S. 219 (OLD 148) - X	X148	3	9	X219			0	I.S. 219 - X	373	501	74
WILLIAM H. TAFT HS - X	X410	1	9	X227			0	BRONX EXPEDITIONARY LEARNG HS - X	356	495	72
P.S. 230/I.S. 229 (UDC) - X	X229	1	9	X229			0	I.S. 229 - X	208	794	26
P.S. 230/I.S. 229 (UDC) - X	X229	1	9	X230	0		2	P.S. 230 - X	199	277	72
EAGLE ACADEMY FOR YOUNG MEN - X	X465	8	9	X231			0	EAGLE ACADEMY FOR YOUNG MEN - X	645	516	125
I.S. 232 - X	X082	4	9	X232			0	I.S. 232 - X	542	543	100
P.S. 236 - X	X173	0	9	X236	36		3	P.S. 236 - X	286	136	210
P.S. 236 ANNEX (P173 ECC) - X	X236		9	X236				P.S. 236 - X	119	108	110
WILLIAM H. TAFT HS - X	X410	3	9	X239			0	URBAN ASSEMBLY FOR HIST & CIT. - X	39	144	27
BATHGATE HS - X	X970	3	9	X241			0	I.S. 241 - X	605	505	120
MORRISANIA SEC ED COMPLEX-X	X002	1	9	X250			0	M.S./H.S. 250 - X	423	426	99
BATHGATE HS - X	X970	2	9	X252			0	MOTT HALL BRONX HS - X	379	333	114
MORRISANIA SEC ED COMPLEX-X	X002	3	9	X260			0	BRONX CNTR FOR SCIENCE & MATH - X	461	434	106
BATHGATE HS - X	X970	3	9	X263			0	VALIDUS PREPRATORY ACADEMY -X	374	360	104
P.S. 230/I.S. 229 (UDC) - X	X229	2	9	X274	0		3	WEST TREMONT NEIGHBORHOOD SCHOOL	312	620	50
P.S. 4 - X	X004	2	9	X276			0	THE LEADERSHIP INSTITUTE - X	227	358	63
P.S. 64 - X**	X064	0	9	X294	0		3	THE WALTON AVENUE SCHOOL	257	57	451
MORRIS HS - X**	X400	3	9	X297			0	MORRIS COLLAB HS TECH & HUMAN - X	464	394	118
I.S. 232 - X	X082	2	9	X303			0	I.S. 303 - X	325	303	107
P.S. 64 - X**	X064	1	9	X311	0		2	LUCERO ELEMENTARY SCHOOL	156	126	124
I.S. 339 (OLD 147) - X	X147	2	9	X313			0	I.S. 313 - X	382	479	80
I.S. 22 - X	X022	2	9	X323			0	I.S. 323 - X	497	624	80
I.S. 166 - X	X166	1	9	X324			0	BRONX EARLY COLLEGE ACADEMY	508	596	85
I.S. 145 - X	X145	1	9	X325			0	I.S. 325 - X	381	608	63
DOE NEW SETTLEMENT COMMUNITY CAMPUS - X	X240	4	9	X327			0	I.S. 327 - X	543	671	81
I.S. 145 - X	X145	1	9	X328			0	I.S. 328 - X	187	383	49
WILLIAM H. TAFT HS - X	X410	1	9	X329			0	DREAMYARD PREPARATORY SCHOOL	345	501	69
I.S. 339 (OLD 147) - X	X147	4	9	X339			0	I.S. 339 - X	606	948	64
WILLIAM H. TAFT HS - X	X410	0	9	X350			0	NEW DIRECTIONS SECONDARY SCHOOL	107	124	86
HIGHBRIDGE ENVIRONMENTAL EDUCATION CAMPUS - X	X285	3	9	X361			0	THE HIGHBRIDGE GREEN SCHOOL	143	448	32
I.S. 232 - X	X082	2	9	X365			0	ACADEMY FOR LANGUAGE & TECH - X	301	429	70
MORRIS HS - X**	X400	5	9	X403			0	BRONX INTERNATIONAL - X	414	363	114
MORRIS HS - X**	X400	1	9	X404			0	HIGH SCHOOL FOR EXCELLENCE - X	396	404	98
WILLIAM H. TAFT HS - X	X410	1	9	X412			0	HS OF BUSINESS - X	359	454	79
WILLIAM H. TAFT HS - X	X410	1	9	X413			0	HS OF MEDICAL SCIENCES - X	465	525	89
WILLIAM H. TAFT HS - X	X410	4	9	X414			0	HS FOR MEDIA AND COMMUNICATION - X	249	377	66
P.S. 90 - X	X090	3	9	X443	0		3	THE FAMILY SCHOOL - X	275	361	76
P.S. 90 MINISCHOOL - X	X890		9	X443				THE FAMILY SCHOOL - X	253	200	127
I.S. 166 - X	X166	4	9	X449	0		3	GRANT AVENUE ELEMENTARY SCHOOL	442	557	79
I.S. 166 - X	X166	1	9	X454			0	SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL	416	441	94
P.S. 90 - X	X090	2	9	X457	0		3	SHERIDAN ACADEMY FOR YOUNG LEADERS	618	576	107
P.S. 55 - X	X055	3	9	X494	0		3	BRONX SUCCESS ACADEMY CHARTER SCHL II - X	487	557	87
HS OF LAW, GOV'T & JUSTICE - X	X460	8	9	X505			0	HS OF LAW, GOV'T & JUSTICE-X	773	753	103
I.S. 219 (OLD 148) - X	X148	0	9	X517			0	I.S. 517 - X	410	661	62
BRONX LEADERSHIP ACADEMY - X	X876	4	9	X525			0	BRONX LEADERSHIP ACADEMY - X	711	552	129
MORRIS HS - X**	X400	6	9	X543			0	HS FOR VIOLIN AND DANCE - X	378	342	111
DOE NEW SETTLEMENT COMMUNITY CAMPUS - X	X240	4	9	X555	36		2	P.S. 555 - X	199	285	70
WILLIAM H. TAFT HS - X	X410	1	9	X564			0	H.S. 564 - X	171	126	136
I.S. 117 - X	X117	2	9	X568			0	H.S. 568 - X	184	179	103
P.S. 204 - X	X824	1	9	X695			0	PASSAGES ACADEMY(HORIZON) - X	144	266	54
P.S./I.S. 218 - X	X235		9	X723				X723 SPED - X	24	24	100
MORRIS HEIGHTS EDUCATIONAL COMPLEX - X	X338		9	X723		*		X723 SPED - X	51	44	116
P.S. 927 - X	X927		9	X723				X723 SPED - X	26	48	54
I.S. 145 - X	X145	0	9	X985			0	ALTERNATIVE LEARNING CENTER - X	0	73	0
P.S. 64 - X**	X064		9	XCBO				MULTIPLE CBOS - X			
I.S. 117 - X	X117		9	XCBO				ACDP BEACON - X			
P.S. 126 (ECF) - X	X126		9	XCBO				WOODYCREST CENTER FOR HUMAN DEV.-X			
I.S. 219 (OLD 148) - X	X148		9	XCBO				BEACON PROGRAM - X			
P.S. 170 (ECC) - X	X170		9	XCBO				HIGHBRIDGE DAY CARE - X			
P.S. 11 ANNEX (P172 ECC) - X	X172		9	XCBO				HIGHBRIDGE DAY CARE - X			
P.S. 236 - X	X173		9	XCBO				LA PENINSULA HEADSTART - X			
P.S. 230/I.S. 229 (UDC) - X	X229		9	XCBO				SCAN NY - X			
I.S. 22 - X	X022		9	XSBH				MORRISANIA HEALTH CLINIC - X			
P.S. 73 - X	X073		9	XSBH				MORRISANIA HEALTH CLINIC - X			
I.S. 117 - X	X117		9	XSBH				MORRISANIA HEALTH CT - X			
P.S. 126 (ECF) - X	X126		9	XSBH				MORRIS HEIGHTS HEALTH CLINIC - X			
I.S. 117 - X	X117		9	XSFS				FOOD SERVICES - X			
HIGHBRIDGE ENVIRONMENTAL EDUCATION CAMPUS - X	X285		9	XSST				SCHOOL SAFETY - X			
P.S. 4 - X	X004		9	XUFT				UFT USE - X			
I.S. 117 - X	X117		9	XUFT				UFT TEACHERS RESOURCE RM. - X			
THEODORE ROOSEVELT HS - X	X435		10	M984				LYFE			
DEWITT CLINTON HS - X	X440		10	Q950				PATHWAYS TO GRADUATION - Q	128	72	178
P.S. 3 - X	X003	5	10	X003	12		3	P.S. 3 - X	358	532	67
P.S. 7 - X	X007	1	10	X007	0		3	P.S. 7 - X	697	568	123
P.S. 8 - X	X008	1	10	X008	0		4	P.S. 8 - X	1022	705	145
P.S. 8 MINISCHOOL - X	X808		10	X008				P.S. 8 - X	174	102	171
P.S. 9 (OLD 115) - X	X009	4	10	X009	54		4	P.S. 9 - X	698	711	98
P.S. 9 TEMP. C.R. BLDG. - X	X930		10	X009				P.S. 9 - X	132	148	89
P.S. 15 - X	X015		10	X010		*		X010 SPED - X	107	114	94
P.S. 396 - X	X026		10	X010				X010 SPED - X	30	15	200
P.S. 15 - X	X015	2	10	X015	0		6	P.S. 15 - X	528	436	121
P.S.15  ANNEX (PLAY YARD) - X	X951		10	X015				P.S.15  ANNEX (PLAY YARD) - X			
P.S. 20 - X	X020	7	10	X020	36		4	P.S. 20 - X	925	935	99
P.S. 20 TEMP. C.R. BLDG. - X	X931		10	X020				P.S. 20 - X	175	197	89
P.S. 23 - X	X023	4	10	X023	18		3	P.S. 23 - X	601	520	116
P.S. 24 - X	X024	6	10	X024	0		4	P.S. 24 - X	790	610	130
I.S. 241 - X	X841		10	X024				P.S. 24 - X	145	200	73
P.S. 32 - X	X032	4	10	X032	0		4	P.S. 32 - X	656	600	109
P.S. 32 MINISCHOOL - X	X832		10	X032				P.S. 32 - X	149	124	120
P.S. 33 - X	X033	1	10	X033	0		4	P.S. 33 - X	863	568	152
P.S. 33 ANNEX - X	X939		10	X033				P.S. 33 - X	212	161	132
P.S. 37 - X	X037	4	10	X037	0		3	P.S. 37 - X	642	600	107
I.S. 45 - X	X045	3	10	X045			0	I.S. 45 - X	797	1262	63
P.S. 46 - X	X046	4	10	X046	0		5	P.S. 46 - X	872	759	115
P.S. 46 ANNEX - X	X831		10	X046				P.S. 46 - X	204	129	158
P.S. 46 MINISCHOOL - X	X846		10	X046				P.S. 46 - X	212	117	181
P.S. 51 - X	X781	1	10	X051	0		2	P.S. 51 - X	242	292	83
P.S. 54 - X	X054	4	10	X054	18		3	P.S. 54 - X	486	430	113
P.S. 56 - X	X056	0	10	X056	0		3	P.S. 56 - X	553	271	204
P.S. 56 ANNEX-BRONX	X780		10	X056				P.S. 56 - X	112	41	273
P.S. 59 - X	X059	5	10	X059	54		3	P.S. 59 - X	472	518	91
P.S. 59 ANNEX - X	X853		10	X059				P.S. 59 - X	97	71	137
I.S. 80/P.S. 280 - X**	X080	7	10	X080			0	I.S. 80 - X	622	782	80
I.S. 80/P.S. 280 TRANSPORTABLE-X	X910		10	X080				I.S. 80 - X	0		
P.S. 81 - X	X081	1	10	X081	0		3	P.S. 81 - X	645	503	128
P.S. 85 - X	X085	3	10	X085	0		4	P.S. 85 - X	811	825	98
P.S. 85 MINISCHOOL - X	X885		10	X085				P.S. 85 - X	195	193	101
P.S. 86 - X	X086	4	10	X086	34		5	P.S. 86 - X	1425	1142	125
P.S. 86 MINISCHOOL - X	X868		10	X086				P.S. 86 - X	230	146	158
P.S. 91 - X	X091	3	10	X091	0		3	P.S. 91 - X	609	609	100
P.S. 91 MINISCHOOL - X	X891		10	X091				P.S. 91 - X	125	85	147
P.S. 94 - X	X094	4	10	X094	0		4	P.S. 94 - X	648	632	103
P.S. 94 ANNEX - X	X361		10	X094				P.S. 94 - X	550	374	147
P.S. 95 - X	X095	8	10	X095	18		5	P.S. 95 - X	1329	1228	108
I.S. 118 - X	X118	4	10	X118			0	I.S. 118 - X	977	1047	93
I.S. 118 TEMP. C.R. BLDG. - X	X932		10	X118				I.S. 118 - X	224	190	118
M.S./H.S. 141 - X	X141	19	10	X141			0	M.S./H.S. 141 - X	1355	1442	94
P.S. 159 - X	X159	1	10	X159	0		2	P.S. 159 - X	186	186	100
P.S. 20 - X	X020		10	X168				X168 SPED - X	91	107	85
DEWITT CLINTON HS - X	X440		10	X168		"#"		X168 SPED - X	9	0	0
P.S. 95 ANNEX - X	X842		10	X168				X168 SPED - X	62	37	168
P.S. 306 - X	X306		10	X186				X186 SPED - X	163	173	94
P.S. 34 - X	X034		10	X188	0		0	X188 SPED - X	236	271	87
P.S. 205A (ECF) - X	X205	2	10	X205	0		4	P.S. 205A - X	683	494	138
P.S. 205B (ECF) - X	X864		10	X205				P.S. 205B - X	342	284	120
I.S. 206B - X	X206	3	10	X206			0	I.S. 206B - X	307	415	74
P.S. 207 - X	X819	3	10	X207	18		3	P.S. 207 - X	390	426	92
P.S. 209 - X	X209	0	10	X209	18		3	P.S. 209 - X	251	154	163
JOHN F. KENNEDY HS - X**	X475	2	10	X213			0	BX ENGINEERING & TECH ACADEMY - X	420	523	80
I.S. 391 (UDC) - X	X137	2	10	X225			0	M.S./H.S. 225 - X	581	761	76
P.S. 226 MINISCHOOL - X	X826	4	10	X226	15		3	P.S. 226 - X	276	238	116
P.S. 226 (VAN CARPENTER) - X	X827		10	X226				P.S. 226 - X	238	195	122
JONAS BRONCK ACADEMY - X	X283	0	10	X228			0	I.S. 228 - X	258	318	81
I.S. 143 - X	X143	2	10	X237			0	MARIE CURIE HS FOR NURSING - X	573	548	105
THEODORE ROOSEVELT HS - X	X435	2	10	X243			0	I.S. 243 - X	611	660	93
I.S. 143 - X	X143	4	10	X244			0	I.S. 244 - X	781	672	116
P.S. 246 (POE CENTER) - X	X843	3	10	X246	0		3	P.S. 246 - X	747	632	118
I.S. 254 - X	X254	3	10	X254			0	I.S. 254 - X	434	469	93
GRACE H. DODGE VOC HS - X	X660	0	10	X264			0	BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE)	112	108	104
WALTON HS - X	X430	3	10	X268			0	KINGSBRIDGE INTERNATIONAL HS - X	443	512	87
P.S. 279 - X	X279	4	10	X279	0		4	P.S. 279 - X	944	790	119
P.S. 279 ANNEX - X	X896		10	X279				P.S. 279 - X	105	82	128
I.S. 80/P.S. 280 - X**	X080	3	10	X280	0		8	P.S. 280 - X	732	580	150
I.S. 80/P.S. 280 TRANSPORTABLE-X	X910		10	X280				P.S. 280 - X	140		
JOHN F. KENNEDY HS - X**	X475	3	10	X284			0	BRONX SCHOOL OF LAW & FINANCE - X	435	559	78
P.S. 15 - X	X015	1	10	X291	0		3	P.S. 291 - X	678	539	126
P.S. 306 - X	X306	3	10	X306	0		4	P.S. 306 - X	758	700	108
P.S. 86 ANNEX - X	X886	0	10	X307	34		3	P.S. 307 - X	404	201	201
BRONX DANCE ACADEMY - X	X852	0	10	X308			0	BRONX DANCE ACADEMY - X	237	353	67
P.S. 310 - X	X122	6	10	X310	51		4	P.S. 310 - X	588	688	85
P.S. 310 MINISCHOOL - X	X822		10	X310				P.S. 310 - X	179	158	113
P.S. 315 - X	X859	2	10	X315	0		3	P.S. 315 - X	266	234	114
P.U.L.S.E. HS - X	X211	0	10	X319			0	P.U.L.S.E. HS - X	227	341	67
P.S. 306 - X	X306	2	10	X331			0	I.S. 331 - X	386	587	66
P.S. 340 - X	X340	2	10	X340	36		3	P.S. 340 - X	653	483	135
WALTON HS - X	X430	9	10	X342			0	M.S./H.S. 342 - X	543	615	88
P.S. 95 - X	X095	3	10	X344	0		3	P.S. 344 - X	332	305	109
DEWITT CLINTON HS - X	X440	1	10	X351			0	BRONX COLLABORATIVE HIGH SCHOOL	90	146	62
DEWITT CLINTON HS - X	X440	0	10	X353			0	WORLD VIEW HIGH SCHOOL	71	124	57
