peer_index	_2009_2010_additional_credit	_2008_09_progress_report_grade	_2009_2010_performance_category_score	_2009_2010_performance_grade	principal	dbn	_2009_2010_progress_category_score	school	_2009_2010_overall_grade	district	progress_report_type	school_level	_2009_2010_environment_grade	_2009_2010_overall_score	_2009_2010_environment_category_score	_2009_2010_progress_grade
2.52	1.5	A	5.1	D	Miriam Lazar	08X367	20.3	Archimedes Academy for Math, Science and Technology Applications	C	8	EMS	Middle	B	33.8	6.9	C
2.67	3.0	A	12.2	B	Jennifer Joynt	08X371	35.1	Urban Institute of Mathematics	B	8	EMS	Middle	B	58.4	8.1	B
2.59	0.0	A	4.8	D	Mark D. Clarke	08X375	20.4	The Bronx Mathematics Preparatory School	C	8	EMS	Middle	F	27.4	2.2	C
2.66	0.5	A	8.0	C	Nancy Jacqueline Diaz	08X376	25.5	Antonia Pantoja Preparatory Academy, A College Board School	C	8	EMS	Middle	C	39.2	5.2	B
2.13	0.0	B	13.1	C	Matthew Roberts	08X377	31.6	Bronx Community High School	C	8	HST	High School Transfer	C	52.7	8.0	C
2.22	0.0		10.6	D	Dr. Janet Saraceno	08X405	21.1	Herbert H. Lehman High School	F	8	HS	High School	F	36.9	5.2	F
""	4.5		19.0	A	Martin Smallhorne	08X408	39.0	Herbert H. Lehman YABC	A	8	YABC	YABC	A	77.5	15.0	B
2.25	4.3		6.5	C	John Hughes	08X424	33.5	The Hunts Point School	B	8	EMS	Middle	B	50.9	6.6	B
2.64					William Frackelton	08X448		SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP		8	EMS	Middle				
2.06	1.5	C	14.0	C	Sam Decker	08X452	28.1	Bronx Guild	C	8	HS	High School	A	54.8	11.2	D
2.48					Geovanti Steward	08X467		MOTT HALL COMMUNITY SCHOOL		8	EMS	Middle				
""	0.0		3.5	F	Gladys De La Cruz	08X507	20.8	Stevenson YABC	F	8	YABC	YABC	B	32.4	8.1	D
2.04	0.0	B	10.6	D	Ms. Grismaldy Laboy-Wilson	08X519	34.2	Felisa Rincon de Gautier Institute for Law and Public Policy, The	C	8	HS	High School	C	52.3	7.5	C
2.06	0.0	C	5.7	F	Joshua Laub	08X530	26.1	Banana Kelly High School	D	8	HS	High School	A	42.3	10.5	D
1.68	0.0	C	10.6	D	William Mulqueen	08X540	24.7	School for Community Research and Learning	D	8	HS	High School	C	42.8	7.5	D
2.23	0.0	F	11.7	C	Patrice English-Young	08X560	19.8	High School X560 - Bronx Academy High School	F	8	HST	High School Transfer	F	35.2	3.7	F
1.91	0.0	C	10.6	D	Sharron Smalls	08X650	32.0	Jane Addams High School for Academic Careers	C	8	HS	High School	C	50.4	7.8	C
""					Lisa Debonis	09X002		P.S. 002 Morrisania		9	EMS	Elementary				
65.29	6.5	A	6.8	C	Vincent Resto	09X004	28.6	P.S./M.S. 004 Crotona Park West	B	9	EMS	K-8	A	50.4	8.5	B
63.53	3.8	A	2.6	D	Elizabeth Hachar	09X011	38.6	P.S. 011 Highbridge	B	9	EMS	Elementary	F	46.1	1.1	A
2.58	0.8	A	2.6	F	Linda Rosenbury	09X022	27.0	J.H.S. 022 Jordan L. Mott	C	9	EMS	Middle	B	37.3	6.9	B
65.27	4.5	A	8.0	C	Marie Barresi	09X028	34.2	P.S. 028 Mount Hope	B	9	EMS	Elementary	B	52.8	6.1	B
57.96	1.0	A	9.6	C	Graciela Navarro	09X035	20.8	P.S. 035 Franz Siegel	C	9	EMS	Elementary	B	38.2	6.8	C
65.59	5.3	A	6.1	C	Camille Wallin	09X042	40.4	P.S. 042 Claremont	A	9	EMS	Elementary	B	60.0	8.2	A
62.75	2.0	A	5.9	C	Collin Wolfe	09X053	7.3	P.S. 053 Basheer Quisim	C	9	EMS	Elementary	B	21.7	6.5	F
65.67	3.5	A	2.5	D	Luis Torres	09X055	22.7	P.S. 055 Benjamin Franklin	C	9	EMS	Elementary	C	34.4	5.7	C
66.34	2.3	C	3.6	D	Velma Gunn	09X058	31.4	P.S. 058	C	9	EMS	Elementary	D	40.2	2.9	B
66.22	3.8	A	13.9	B	Reinaldo Diaz-Lens	09X063	20.8	P.S. 063 Author's Academy	B	9	EMS	Elementary	B	46.7	8.2	C
69.62	0.8	A	1.8	D	Beverly Harrigan	09X064	29.8	P.S. 064 Pura Belpre	C	9	EMS	Elementary	B	39.5	7.1	B
63.35	1.5	A	1.5	F	Kerry Castellano	09X070	23.8	P.S. 070 Max Schoenfeld	C	9	EMS	Elementary	C	31.2	4.4	C
64.56	3.8	A	1.3	F	Jean Mirvil	09X073	34.5	P.S. 073 Bronx	B	9	EMS	Elementary	B	47.5	7.9	B
64.00	8.3		11.4	B	Melinda Hyer	09X088	17.6	P.S. X088 - S. Silverstein Little Sparrow School	B	9	EC	K-3	A	47.9	10.6	A
""					Joan Kong	09X090		P.S. 090 George Meany		9	EMS	Elementary				
66.75	6.8	A	10.9	B	Amanda Blatter	09X109	40.7	P.S. 109 Sedgwick	A	9	EMS	Elementary	A	68.0	9.6	A
69.02	4.5	A	7.8	C	Daisy Perez	09X110	29.7	P.S. 110 Theodore Schoenfeld	B	9	EMS	Elementary	A	52.2	10.2	B
64.61	4.5	A	2.7	D	Olivia Francis-Webber	09X114	30.2	P.S. X114 - Luis Llorens Torres Schools	B	9	EMS	Elementary	B	43.8	6.4	B
2.38	6.0	A	6.9	C	Delise Jones	09X117	41.0	I.S. 117 Joseph H. Wade	B	9	EMS	Middle	C	59.3	5.4	A
66.19	2.0	A	4.3	D	Nadine Kee-Foster	09X126	32.2	P.S. 126 Dr Marjorie H Dunbar	B	9	EMS	Elementary	C	43.8	5.3	B
3.06	5.8	A	9.4	C	Jorisis Stupart	09X128	40.0	Mott Hall III	A	9	EMS	Middle	B	62.6	7.4	A
67.40	3.8	B	0.2	F	Anissa Chalmers	09X132	33.4	P.S. 132 Garret A. Morgan	B	9	EMS	Elementary	B	44.4	7.0	B
2.33	6.5	A	5.6	D	Robert Hannibal	09X145	30.6	J.H.S. 145 Arturo Toscanini	B	9	EMS	Middle	A	55.1	12.4	B
67.75	1.0	A	6.6	C	Dilsia Martinez	09X163	21.7	P.S. 163 Arthur A. Schomburg	C	9	EMS	Elementary	D	33.3	4.0	C
""					Lauren Reiss	09X166		J.H.S. 166 Roberto Clemente		9	EMS	Middle				
60.65	5.3		8.7	B	Nancy Ramos	09X170	9.9	P.S. 170	B	9	EC	K-2	A	37.5	13.6	B
67.18	8.5	A	11.2	B	Lilia Navarrete	09X199	31.5	P.S. 199X - The Shakespeare School	A	9	EMS	Elementary	B	58.5	7.3	B
63.21	1.5	A	15.7	A	Marcy Glattstein	09X204	37.1	P.S. 204 Morris Heights	A	9	EMS	Elementary	A	67.1	12.8	A
3.07	2.3	A	6.9	C	Sheri Warren	09X215	29.2	Kappa	B	9	EMS	Middle	B	46.5	8.1	B
61.01	3.5	A	11.6	B	Leticia Rosario	09X218	38.0	P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School	A	9	EMS	K-8	A	63.1	10.0	A
2.27	2.0	A	5.9	D	Dominic Cipollone	09X219	31.5	I.S. 219 New Venture School	B	9	EMS	Middle	C	44.9	5.5	B
1.93	1.5	C	13.7	C	Ryan Scallon	09X227	35.6	Bronx Expeditionary Learning High School	C	9	HS	High School	D	57.6	6.8	B
2.29	6.5	A	6.7	C	Ezra Matthias	09X229	42.6	I.S. 229 Roland Patterson	B	9	EMS	Middle	C	61.6	5.8	A
66.77	5.8	A	2.1	D	Rowena Penn-Jackson	09X230	23.2	P.S. 230 Dr Roland N. Patterson	C	9	EMS	Elementary	C	36.1	5.0	C
2.29	1.5	A	12.6	C	Osei Owusu-Afriye	09X231	37.2	Eagle Academy for Young Men	B	9	HS	High School	C	58.6	7.3	B
2.35	7.0	A	6.4	D	Neifi Acosta	09X232	42.5	I.S. 232	A	9	EMS	Middle	B	63.8	7.9	A
67.48	5.3		6.0	C	Beverly Ellis	09X236	9.2	P.S. 236 Langston Hughes	B	9	EC	K-2	A	30.3	9.8	B
1.67	0.0	C	9.0	F	Jonathan Foy	09X239	21.4	Urban Assembly Academy for History and Citizenship for Young Men, The	F	9	HS	High School	C	37.7	7.3	F
2.84					Kenneth Baum	09X241		Urban Assembly School for Applied Math and Science, The		9	HS	High School				
2.70	3.5	A	9.8	C	Kenneth Baum	09X241	28.9	Urban Assembly School for Applied Math and Science, The	B	9	EMS	Middle	B	50.8	8.6	B
2.44	4.5	A	18.9	A	Tammy Smith	09X250	39.9	Eximius College Preparatory Academy: A College Board School	B	9	HS	High School	F	69.2	5.9	B
""					Tammy Smith	09X250		Eximius College Preparatory Academy: A College Board School		9	EMS	Middle				
2.58	7.5	A	19.8	A	David Tinagero	09X252	53.8	Mott Hall Bronx High School	A	9	HS	High School	C	89.0	7.9	A
2.95	3.0	B	17.7	A	Edward Tom	09X260	39.5	Bronx Center for Science and Mathematics	B	9	HS	High School	B	69.3	9.1	B
2.20	4.5	B	21.2	A	Brady Smith	09X263	38.8	Validus Preparatory Academy: An Expeditionary Learning School	A	9	HS	High School	A	75.6	11.1	B
2.07	0.0	B	11.4	D	Marta Colon	09X276	25.6	Leadership Institute	D	9	HS	High School	C	45.0	8.0	D
1.83	10.5	A	21.1	A	Charles Osewalt	09X297	41.8	Morris Academy for Collaborative Studies	A	9	HS	High School	B	82.1	8.7	B
2.84	3.3	B	3.2	F	Patricia Bentley	09X303	25.8	I.S. X303 Leadership & Community Service	C	9	EMS	Middle	B	40.7	8.4	B
2.48	2.0	A	6.1	D	Lauren Wilkins	09X313	31.5	I.S. 313 School of Leadership Development	B	9	EMS	Middle	B	45.9	6.3	B
2.51	10.3	B	8.0	C	Kamar Samuels	09X323	47.4	Bronx Writing Academy	A	9	EMS	Middle	D	69.3	3.6	A
3.13					John Barnes	09X324		Bronx Early College Academy for Teaching & Learning		9	HS	High School				
2.60	0.0	A	9.4	C	John Barnes	09X324	26.4	Bronx Early College Academy for Teaching & Learning	B	9	EMS	Middle	B	44.3	8.5	B
2.46	2.3	A	4.0	D	Patrick Kelly	09X325	35.7	Urban Science Academy	B	9	EMS	Middle	C	47.2	5.2	B
2.75	7.0	A	13.1	B	Manuel Ramirez	09X327	45.5	Comprehensive Model School Project M.S. 327	A	9	EMS	Middle	A	75.6	10.0	A
2.24	2.5	A	4.0	D	Dorald Bastian	09X328	25.8	New Millennium Business Academy Middle School	C	9	EMS	Middle	C	38.2	5.9	B
2.14	1.5		7.9	F	Rod Bowen	09X329	28.7	DreamYard Preparatory School	D	9	HS	High School	C	45.2	7.1	C
2.26	3.5	A	5.0	D	Jason Levy	09X339	31.0	I.S. 339	B	9	EMS	Middle	C	44.1	4.6	B
2.50					Arisleyda Urena	09X365		Academy for Language and Technology		9	HS	High School				
1.97	7.5	A	17.2	B	Joaquin Vega	09X403	36.4	Bronx International High School	A	9	HS	High School	A	73.9	12.8	B
1.88	0.0	A	17.2	B	Carmen Bardeguez Brown	09X404	42.1	School for Excellence	B	9	HS	High School	B	69.5	10.2	A
1.96	0.0	B	12.5	C	Enrique Lizardi	09X412	35.7	Bronx High School of Business	C	9	HS	High School	B	57.9	9.7	B
2.78	3.0	A	18.6	A	William Quintana	09X413	36.5	Bronx High School for Medical Science	B	9	HS	High School	B	67.6	9.5	B
2.89	0.8	A	8.7	C	William Quintana	09X413	29.0	Bronx High School for Medical Science	B	9	EMS	Middle	B	46.5	8.0	B
1.75	0.0	B	14.0	C	Nasib Hoxha	09X414	31.4	Jonathan Levin High School for Media and Communications	C	9	HS	High School	A	55.9	10.5	C
2.31					Dr. Patrick Awosogba	09X454		SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL		9	EMS	Middle				
2.48	3.0	B	17.1	B	Meisha Ross-Porter	09X505	37.4	Bronx School for Law, Government and Justice	B	9	HS	High School	B	66.6	9.1	B
2.93	0.0	B	7.1	C	Meisha Ross-Porter	09X505	26.2	Bronx School for Law, Government and Justice	C	9	EMS	Middle	B	39.7	6.4	B
2.34	0.0	B	20.2	A	Rahesha Amon	09X517	30.7	Frederick Douglass Academy III Secondary School	B	9	HS	High School	B	60.0	9.1	C
2.84	3.0	C	3.5	F	Rahesha Amon	09X517	21.5	Frederick Douglass Academy III Secondary School	C	9	EMS	Middle	C	33.1	5.1	C
2.12	3.0	C	17.1	B	Kenneth Gaskins,Jr.	09X525	34.8	Bronx Leadership Academy High School	B	9	HS	High School	B	65.3	10.4	B
1.95	3.0	A	25.0	A	Tanya John	09X543	55.3	High School for Violin and Dance	A	9	HS	High School	A	95.8	12.5	A
58.49	4.3	A	9.9	C	Denise Brown	10X003	37.9	P.S. 3 Raul Julia Micro Society	A	10	EMS	K-8	C	57.1	5.0	A
59.01	0.0	A	4.1	D	Renee Cloutier	10X007	24.2	P.S. 007 Kingsbridge	C	10	EMS	Elementary	B	36.1	7.8	C
56.87	1.5	A	9.6	C	Rosa Maria Peralta	10X008	35.9	P.S. 008 Issac Varian	B	10	EMS	Elementary	C	51.9	4.9	A
64.94	0.0	A	2.7	D	Jacqueline Bailey	10X009	12.3	P.S. 9 Ryer Avenue Elementary School	C	10	EMS	Elementary	D	19.1	4.1	D
61.25	10.0	A	13.3	B	Tara Edmonds	10X015	39.4	P.S. X015 Institute for Environmental Learning	A	10	EMS	K-8	A	75.1	12.4	A
58.31	3.0	A	8.5	C	Carol Carlsen	10X020	25.1	P.S. 20 P.O.George J. Werdan III	B	10	EMS	K-8	B	43.5	6.9	B
66.79	8.3		3.9	F	Shirley Torres	10X023	9.0	P.S. 023 The New Children's School	C	10	EC	K-2	A	29.7	8.5	B
24.80	2.3	A	5.8	C	Donna Connelly	10X024	27.9	P.S. 024 Spuyten Duyvil	C	10	EMS	Elementary	F	38.5	2.5	B
65.49	15.0	A	16.9	A	Esther Schwartz	10X032	58.0	P.S. 032 Belmont	A	10	EMS	Elementary	A	100.6	10.7	A
64.30	7.3	A	6.6	C	Lynette Santos	10X033	40.4	P.S. 033 Timothy Dwight	A	10	EMS	Elementary	B	62.7	8.4	A
61.15	1.8	A	8.1	C	Kenneth Petriccione	10X037	28.0	P.S. X037 - Multiple Intelligence School	B	10	EMS	K-8	C	43.3	5.4	B
2.75	0.0	A	7.1	C	Annamaria Giordano	10X045	21.2	Thomas C. Giordano Middle School 45	C	10	EMS	Middle	C	34.4	6.1	C
64.09	0.0	A	4.5	D	Jennifer Alexander-Ade	10X046	24.8	P.S. 046 Edgar Allan Poe	C	10	EMS	Elementary	B	36.2	6.9	B
56.22	0.0	A	7.3	C	Paul Smith	10X051	26.8	P.S. 051 Bronx New School	B	10	EMS	Elementary	A	44.5	10.4	B
62.28	1.3	A	5.0	D	Maribelle Nunez-Pardo	10X054	21.3	P.S. / I.S. 54	C	10	EMS	Elementary	D	31.2	3.6	C
49.16	4.5	A	5.9	C	Priscilla Sheeran	10X056	45.3	P.S. 056 Norwood Heights	A	10	EMS	Elementary	A	66.7	11.0	A
67.44	6.8	A	5.4	D	Christine Mchugh	10X059	34.3	P.S. 059 The Community School of Technology	B	10	EMS	Elementary	B	52.7	6.2	B
""					Nicole Tine	10X079		P.S. 079 Creston		10	EMS	Elementary				
2.29	5.3	A	6.2	D	Lovey Mazique-Rivera	10X080	34.6	J.H.S. 080 The Mosholu Parkway	B	10	EMS	Middle	C	50.6	4.5	B
32.96	1.0	A	6.3	C	Melodie Mashel	10X081	11.6	P.S. 081 Robert J. Christen	C	10	EMS	Elementary	B	26.8	7.9	D
65.26	3.0	A	2.4	D	Ted Husted	10X085	29.5	P.S. 085 Great Expectations	C	10	EMS	Elementary	C	40.5	5.6	B
63.21	10.3	A	9.9	C	Sheldon Benardo	10X086	47.1	P.S. 086 Kingsbridge Heights	A	10	EMS	Elementary	A	79.0	11.7	A
62.58	3.0	A	6.2	C	Rosemary Prati	10X091	39.6	P.S. 091 Bronx	B	10	EMS	Elementary	C	53.3	4.5	A
57.26	1.3	A	2.1	D	Diane Daprocida	10X094	30.0	P.S. 094 Kings College School	C	10	EMS	Elementary	D	37.5	4.1	B
54.34	3.5	A	8.3	C	Serge Marshall Davis	10X095	33.7	P.S. 095 Sheila Mencher	B	10	EMS	K-8	D	49.5	4.0	B
3.02	2.8	A	6.4	D	Elizabeth Lawrence	10X118	26.2	J.H.S. 118 William W. Niles	C	10	EMS	Middle	D	39.0	3.6	B
2.55	3.0	A	22.1	A	Lori O'Mara	10X141	41.3	Riverdale / Kingsbridge Academy (Middle School / High School 141)	A	10	HS	High School	B	75.3	8.9	B
2.99	1.0	B	6.7	C	Lori O'mara	10X141	14.4	Riverdale / Kingsbridge Academy (Middle School / High School 141)	D	10	EMS	Middle	C	27.2	5.1	D
68.43	1.5	A	12.6	B	Luis Liz	10X159	29.7	P.S. 159 Luis Munoz Marin Biling	B	10	EMS	Elementary	A	54.1	10.3	B
61.56	6.5	A	14.5	B	Maria Pietrosanti	10X205	33.9	P.S. 205 Fiorello Laguardia	A	10	EMS	Elementary	A	64.5	9.6	B
2.56	4.8	A	7.6	C	David Neering	10X206	33.1	I.S. 206 Ann Mersereau	B	10	EMS	Middle	B	54.2	8.7	B
59.18	6.0		4.6	F	Maria Rosado	10X207	9.2	P.S. 207	C	10	EC	K-2	A	27.9	8.1	B
64.20	5.3		9.1	B	Anne Keegan	10X209	10.9	P.S. 209	A	10	EC	K-2	A	40.3	15.0	B
2.26	9.0	B	25.0	A	Rashid F. Davis	10X213	34.6	Bronx Engineering and Technology Academy	A	10	HS	High School	B	78.6	10.0	C
2.58	9.0	A	25.0	A	Lynn Passarella	10X225	59.3	Theatre Arts Production Company School	A	10	HS	High School	A	106.3	13.0	A
2.85	2.5	A	7.3	C	Lynn Passarella	10X225	21.7	Theatre Arts Production Company School	B	10	EMS	Middle	A	42.7	11.2	C
67.51	0.0	B	6.9	C	Gloria Darden	10X226	0.5	P.S. 226	D	10	EMS	Elementary	B	14.8	7.4	F
2.60	6.3	A	13.6	B	Donalda Chumney	10X228	44.7	Jonas Bronck Academy	A	10	EMS	Middle	A	77.1	12.5	A
2.39	7.5	A	22.5	A	Rodney Fisher	10X237	44.0	The Marie Curie School for Medicine, Nursing, and Health Professions	A	10	HS	High School	C	82.4	8.4	A
2.06	1.5	B	6.9	F	Wilper Morales	10X243	30.5	West Bronx Academy for the Future	C	10	HS	High School	B	49.0	10.1	C
2.64	0.5	A	6.7	C	Wilper Morales	10X243	17.5	West Bronx Academy for the Future	C	10	EMS	Middle	A	35.0	10.3	D
2.39	4.5	A	8.3	C	Dolores Peterson	10X244	37.2	The New School for Leadership and Journalism	B	10	EMS	Middle	B	56.3	6.3	A
65.76	0.0	A	3.6	D	Beverly Miller	10X246	28.2	P.S. 246 Poe Center	C	10	EMS	Elementary	B	38.2	6.4	B
2.30	7.3	A	10.0	C	Wilford Hemans	10X254	42.8	I.S. 254	A	10	EMS	Middle	C	66.2	6.1	A
1.85	3.0	A	17.0	B	Ronald Newlon	10X268	38.1	Kingsbridge International High School	B	10	HS	High School	A	69.4	11.3	B
64.83	5.5	A	5.9	D	James Waslawski	10X279	32.5	P.S. 279 Captain Manuel Rivera, Jr.	B	10	EMS	K-8	B	51.8	7.9	B
55.32	4.5	A	11.1	B	James Weeks	10X280	36.1	P.S./M.S. 280 Mosholu Parkway	A	10	EMS	K-8	A	60.5	8.8	A
2.43	3.0	B	16.4	B	Evan Schwartz	10X284	31.5	Bronx School of Law and Finance	B	10	HS	High School	C	59.3	8.4	C
67.09	3.0	A	13.3	B	Carlos Velez	10X291	29.4	P.S. 291	B	10	EMS	Elementary	A	56.1	10.4	B
61.16	2.0	A	1.5	F	Darryl Harrington	10X306	0.0	P.S. 306	C	10	EMS	Elementary	B	11.6	8.1	F
61.01	7.3	A	16.3	A	Luisa Fuentes	10X307	45.0	P.S. X307 - Eames Place	A	10	EMS	Elementary	A	81.1	12.5	A
2.49	6.0	A	6.6	C	Sandra Sanchez	10X308	35.6	Bronx Dance Academy School	B	10	EMS	Middle	C	52.7	4.5	B
63.65	5.0	A	8.1	C	Elizabeth Cardona	10X310	43.0	P.S. 310 Marble Hill	A	10	EMS	Elementary	B	63.6	7.5	A
61.64	6.8	A	12.3	B	Elsie Cardona-Berardinelli	10X315	49.1	P.S. 315 Lab School	A	10	EMS	K-8	A	78.4	10.2	A
2.18	1.5	A	14.9	B	Carol Wiggins	10X319	34.8	Providing Urban Learners Success In Education High School	B	10	HST	High School Transfer	A	66.2	15.0	B
2.20	2.3	A	6.1	D	Serapha Cruz	10X331	28.9	The Bronx School of Science Inquiry and Investigation	B	10	EMS	Middle	A	48.8	11.5	B
61.26	4.8	A	6.0	C	Nelly Maldonado	10X340	30.3	P.S. 340	B	10	EMS	Elementary	A	51.4	10.3	B
2.34	1.5	A	9.3	F	Karen Maldonado	10X342	41.9	International School for Liberal Arts	B	10	HS	High School	A	65.2	12.5	B
2.22	3.0	A	1.2	F	Karen Maldonado	10X342	34.2	International School for Liberal Arts	B	10	EMS	Middle	A	50.1	11.7	B
30.69					Elizabeth Lopez-Towey	10X344		Ampark Neighborhood		10	EMS	Elementary				
59.74	1.3	A	5.1	D	Nancy Rodriguez-Lewis	10X360	33.5	P.S. 360	B	10	EMS	Elementary	B	46.4	6.5	B
2.69	7.5	C	7.4	F	Rose Fairweather-Clunie	10X368	35.5	In-Tech Academy (M.S. / High School 368)	B	10	HS	High School	B	60.7	10.3	B
2.68	1.8	A	9.4	C	Rose Fairweather-Clunie	10X368	32.2	In-Tech Academy (M.S. / High School 368)	B	10	EMS	Middle	A	52.8	9.4	B
2.77					Panorea Panagiosoulis	10X374		Knowledge and Power Preparatory Academy International High School (Kappa)		10	HS	High School				
60.09	3.0		3.9	D	Avon Connell-Cowell	10X382	8.4	Elementary School for Math, Science, and Technology	C	10	EC	K-3	B	21.0	5.7	B
63.20	1.5		0.0	F	Heather Dawe	10X386	1.4	School for Environmental Citizenship	F	10	EC	K-3	B	8.5	5.6	F
2.50	1.3	A	5.6	D	Robert Mercedes	10X390	24.3	M.S. 390	C	10	EMS	Middle	B	39.2	8.0	C
2.28	1.5	A	4.1	D	Pedro Santana	10X391	31.3	The Angelo Patri Middle School	B	10	EMS	Middle	B	43.7	6.8	B
64.07	1.5	A	11.7	B	Lawrence Wright	10X396	31.9	P.S. 396	B	10	EMS	Elementary	A	55.2	10.1	B
1.52					Norma Vega	10X397		English Language Learners and International Support Preparatory Academy (ELLIS)		10	HS	High School				
""					Angelo Ledda	10X399		M.S. 399		10	EMS	Middle				
2.04	9.0	C	16.5	B	Gary Prince	10X433	42.1	High School for Teaching and the Professions	A	10	HS	High School	B	77.8	10.2	A
2.03	0.0	A	17.1	B	Stephen Joseph Gumbs	10X434	50.2	Belmont Preparatory High School	A	10	HS	High School	C	75.3	8.0	A
2.09	4.5	A	18.8	A	Iris Blige	10X437	48.2	Fordham High School for the Arts	A	10	HS	High School	A	82.9	11.4	A
2.13	3.0	B	8.1	F	Richard Bost	10X438	31.6	Fordham Leadership Academy for Business and Technology	C	10	HS	High School	D	49.2	6.5	C
1.96	0.0	C	9.4	F	Gail Joyner-White	10X439	23.2	Bronx High School for Law and Community Service	D	10	HS	High School	B	41.5	8.9	F
2.40	3.0	C	11.3	D	Geraldine Ambrosio	10X440	26.6	DeWitt Clinton High School	C	10	HS	High School	C	48.1	7.2	D
2.75	3.0	B	13.7	C	William Rodriguez, Ed.D.	10X442	35.5	Celia Cruz Bronx High School of Music, The	B	10	HS	High School	C	60.1	7.9	B
3.91	0.0	A	23.5	A	Valerie Reidy	10X445	41.8	Bronx High School of Science	A	10	HS	High School	C	73.8	8.5	B
2.36					Pamela Edwards	10X447		CRESTON ACADEMY		10	EMS	Middle				
2.33					Tanicia Williams	10X459		EAST FORDHAM ACADEMY FOR THE ARTS		10	EMS	Middle				
1.86	3.0	C	9.6	F	Anthony Rotunno	10X475	25.6	John F. Kennedy High School	D	10	HS	High School	C	45.5	7.3	D
2.69	12.0	A	22.2	A	Kirsten Larson	10X477	55.5	Marble Hill High School for International Studies	A	10	HS	High School	A	100.5	10.8	A
""	3.0		12.6	C	Keesha Lindsay	10X503	34.7	Walton YABC	B	10	YABC	YABC	B	58.8	8.5	B
""	6.0		14.9	B	Frank Parrino	10X504	25.1	Kennedy YABC	B	10	YABC	YABC	B	54.5	8.5	D
2.38	6.0	B	11.9	C	Deborah Effinger	10X546	23.7	Bronx Theatre High School	C	10	HS	High School	A	53.3	11.7	F
1.94	7.5	A	18.9	A	Rolando Rivera	10X549	53.7	Discovery High School	A	10	HS	High School	A	91.5	11.4	A
1.92	0.0	D	7.0	F	Roberto Hernandez	10X660	31.5	Grace Dodge Career and Technical Education High School	D	10	HS	High School	C	46.3	7.8	C
""	0.0		8.4	F	Patricia Squire	10X667	22.4	Grace Dodge YABC	D	10	YABC	YABC	B	40.8	10.0	D
3.79	0.0	A	23.1	A	Mr. Alessandro Weiss	10X696	39.7	High School of American Studies at Lehman College	A	10	HS	High School	A	74.9	12.1	B
55.24	2.0	A	5.2	D	Yvonne Williams	11X016	8.3	P.S. 016 Wakefield	C	11	EMS	Elementary	C	21.3	5.8	F
23.81	1.5	A	4.4	D	Timothy P. Sullivan	11X019	18.1	P.S. 019 Judith K. Weiss	C	11	EMS	K-8	B	31.2	7.2	C
58.16	2.5	B	2.6	D	Joyce Coleman	11X021	29.6	P.S. 021 Philip H. Sheridan	C	11	EMS	Elementary	C	40.6	5.9	B
60.95	12.3	A	10.6	B	Erika Tobia	11X041	58.3	P.S. 041 Gun Hill Road	A	11	EMS	Elementary	A	90.8	9.6	A
61.07	4.3	A	6.4	C	Cheryl Coles	11X068	22.4	P.S. 068 Bronx	B	11	EMS	Elementary	A	43.4	10.3	C
53.90	9.8	A	9.6	C	Louise Sedotto	11X076	44.1	P.S. 076 The Bennington School	A	11	EMS	Elementary	B	71.6	8.1	A
57.29	3.3	A	1.3	F	Claudina Skerritt	11X078	25.1	P.S. 078 Anne Hutchinson	C	11	EMS	Elementary	C	34.6	4.9	B
43.21	1.5	A	7.5	C	Benjamin Soccodato	11X083	19.6	P.S. 083 Donald Hertz	C	11	EMS	K-8	A	37.6	9.0	C
54.41	0.8	A	1.7	D	Donna Anaman	11X087	13.5	P.S. 087 Bronx	C	11	EMS	Elementary	B	22.1	6.1	D
53.36	1.3	A	3.1	D	Ronald Rivera	11X089	31.4	P.S. 089 Bronx	C	11	EMS	K-8	F	36.9	1.1	B
51.26	0.5	A	12.7	B	Marta Garcia	11X096	33.8	P.S. 096 Richard Rodgers	B	11	EMS	Elementary	B	54.4	7.4	B
47.60	6.0	C	5.0	D	Katheleen Bornkamp	11X097	39.7	P.S. 097 Bronx	B	11	EMS	Elementary	C	56.4	5.7	A
58.18	3.0	A	2.7	D	Alice Brown	11X103	29.1	P.S. 103 Hector Fontanez	B	11	EMS	Elementary	B	42.1	7.3	B
53.81	3.3	A	6.3	C	Mr. Christopher Eustace	11X105	32.8	P.S. 105 Sen Abraham Bernstein	B	11	EMS	Elementary	B	48.6	6.2	B
47.67	2.5	A	7.9	C	Eugenia Montalvo	11X106	26.3	P.S. 106 Parkchester	B	11	EMS	Elementary	A	45.4	8.7	B
34.85	0.0	B	5.3	D	Charles Sperrazza	11X108	22.5	P.S. 108 Philip J. Abinanti	C	11	EMS	Elementary	C	32.6	4.8	C
59.77	3.0	A	1.3	F	Ava Fullenweider	11X111	22.7	P.S. 111 Seton Falls	C	11	EMS	Elementary	B	34.0	7.0	C
60.95	5.3	A	6.4	C	Susan Barnes	11X112	45.1	P.S. 112 Bronxwood	A	11	EMS	Elementary	D	60.9	4.1	A
50.34	3.0	A	5.9	C	Rachel Donnelly	11X121	30.2	P.S. 121 Throop	B	11	EMS	Elementary	A	50.6	11.5	B
