site_name	program_type	location_1/latitude	location_1/human_address/address	location_1/human_address/city	location_1/human_address/state	location_1/human_address/zip	location_1/longitude	agency	borough_community	program	grade_level_age_group	contact_number
IS 52	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.8659943773106	650 Academy Street	New York	NEW YORK	10034	-73.92483806023611	Sunset Park Center	New York	Middle School Youth	Middle School	(212) 942-0043
Our Lady of Sorrows School	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.749678220373596	35 34 105th Street	Queens	NEW YORK	11368	-73.85304068857687	Make the Road New York	Queens	Middle School Youth	Middle School	(718) 651-8427
JHS 383 PHILLIPPA SCHUYLER (K383)	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.69762704651303	1300 GREENE AVENUE	Brooklyn	NEW YORK	11237	-73.91986972170302	Make the Road New York	Brooklyn	Middle School Youth	Middle School	(347) 417-8180
I S 364 GATEWAY (K364)	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.64645050916844	1426 FREEPORT LOOP	Brooklyn	NEW YORK	11239	-73.88152763917518	Make the Road New York	Brooklyn	Middle School Youth	Middle School	(347) 417-8180
I.S 286 M	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.81520669715875	509 129 Street	Manhattan	NEW YORK	10027	-73.9551464649788	Make the Road New York Staten Island	Manhattan	Middle School Youth	Middle School	(347) 417-8180
IS 061 LEONARDO DA VINCI (Q061)	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.749678220373596	98 50 50 AVENUE	Corona	NEW YORK	11368	-73.85304068857687	Make the Road New York	Corona	Middle School Youth	Middle School	(347) 417-8180
PSS/WSF GrandParent Family Apartment	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.82215857521681	951 Prospect Avenue	Bronx	NEW YORK	10459	-73.90061538899755	Manhattan Legal Services	Bronx	Middle School Youth	Middle School	(212) 874-6633
St. Dominic School	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.84352928468312	1684 White Plains Road	Bronx	NEW YORK	10462	-73.8654751708726	MBD Community Housing Corp	Bronx	Middle School Youth	Middle School	(64) 686-6102
Red Hook Initiative	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.67506809698567	595 Clinton Street	Brooklyn	NEW YORK	11231	-74.00158556079823	Morrisania Revitalization Corporation	Brooklyn	Middle School Youth	Middle School	(718) 858-6782
Middle School 136	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.65208990853318	4004 Fourth Avenue	Brooklyn	NEW YORK	11232	-74.00688510833078	Educational Counseling Center	Brooklyn	Middle School Youth	Middle School	(718) 788-3500
MS 216	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.822428225918	977 Fox Street	Bronx	NEW YORK	10459	-73.89392410102988	Mount Hope Community Center	Bronx	Middle School Youth	Middle School	(718) 732-7523
PS 3 RAUL JULIA MICRO SOCIETY (X003)	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.84986917690515	2100 LAFONTAINE AVENUE	Bronx	NEW YORK	10457	-73.8922836999623	Healthy Families	Bronx	Middle School Youth	Middle School	(718) 732-7523
JHS 142 JOHN PHILIP SOUSA (X142)	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.88554553526394	3750 BAYCHESTER AVENUE	Bronx	NEW YORK	10466	-73.84075720750138	Healthy Families	Bronx	Middle School Youth	Middle School	(347) 417-8120
CONSELYEA PREPARATORY SCHOOL (K577)	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.71463833332369	320 MANHATTAN AVENUE	Brooklyn	NEW YORK	11211	-73.94607320762356	Jacobi Medical Center Nurses Residence/ NIDS Young Adult Center	Brooklyn	Middle School Youth	Middle School	(347) 417-8120
IS 252 ARTHUR S SOMMERS (K252)	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.658327698451274	1084 LENOX ROAD	Brooklyn	NEW YORK	11212	-73.92001930874018	Neighborhood SHOPP Casa Boricua Senior Center	Brooklyn	Middle School Youth	Middle School	(347) 417-8120
IS 281 JOSEPH B CAVALLARO (K281)	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.59549272946864	8787 24 AVENUE	Brooklyn	NEW YORK	11214	-73.99326546764759	Thessalonia Baptist Church	Brooklyn	Middle School Youth	Middle School	(718) 236-5266
JHS 227 EDWARD B SHALLOW (K227)	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.62199170444391	6500 16 AVENUE	Brooklyn	NEW YORK	11204	-73.99495737704281	Highbridge Gardens	Brooklyn	Middle School Youth	Middle School	(718) 236-5266
I S 187 (K187)	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.627718796576026	1171 65 STREET	Brooklyn	NEW YORK	11219	-74.00434443919511	Morrisania Air Rights Housing Development	Brooklyn	Middle School Youth	Middle School	(718) 236-5266
The Arab-American Family Support Center	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.688807894259774	150 Court Street	Brooklyn	NEW YORK	11201	-73.99283183663935	Concourse Gardens	Brooklyn	Middle School Youth	Middle School	(718) 643-8000
Khalil Gibran International Academy	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.697950139744485	50 Navy Street	Brooklyn	NEW YORK	11201	-73.98057417378759	Jonas Bronck Housing for Seniors	Brooklyn	Middle School Youth	Middle School	(718) 643-8000
THEATRE ARTS PRODUCTION COMPANY SCHOOL (X225)	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.85466127151118	2225 WEBSTER AVENUE	Bronx	NEW YORK	10457	-73.89664962860274	Sedgwick Houses	Bronx	Middle School Youth	Middle School	(212) 949-4919
BROOKLYN EXCELSIOR CHARTER (K731)	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.68989590664285	856 QUINCY STREET	Brooklyn	NEW YORK	11221	-73.92483415895022	SEBCO St Barnabas Senior Housing	Brooklyn	Middle School Youth	Middle School	(212) 630-9680
Queens Gateway to Health and Sciences Secondary School	After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support	40.71311535449007	150 91 87th Road	Queens	NEW YORK	11432	-73.79282099978928	SEBCO Father Banome Senior Housing	Queens	Middle School Youth	Middle School	(212) 630-6980
Aids Center of Queens County	Family Support,NDA Programs	40.60526421293615	1600 Central Avenue	Queens	NEW YORK	11691	-73.75189171476596	Father David Cassella Plaza	Queens	Healthy Families		(718) 896-2500
Asian Americans for Equality	Family Support,NDA Programs	40.76862022064671	133 04 39th Ave	Queens	NEW YORK	11354	-73.82719028070687	Aquinas Housing for Seniors	Queens	Healthy Families		(212) 979-8381
Restoration Plaza	Family Support,NDA Programs	40.68016709769277	1368 Fulton Street	Brooklyn	NEW YORK	11216	-73.94592248315027	Clinton Senior Housing	Brooklyn	Healthy Families		(718) 636-6906
Tompkins Housing Community Center	Family Support,NDA Programs	40.69795519428128	736 Park Avenue	Brooklyn	NEW YORK	11206	-73.94619360909594	Lafayette Estates	Brooklyn	Healthy Families		(718) 636-6906
Tompkins Resident Association Office	Family Support,NDA Programs	40.69690816766297	77 Tompkins Avenue	Brooklyn	NEW YORK	11206	-73.94656644161232	San Andres Church	Brooklyn	Healthy Families		(718) 636-6906
BCA Main Community Services Center	Family Support,NDA Programs	40.641104606526014	5000 8th Avenue	Brooklyn	NEW YORK	11220	-74.0037599239347	Carol Gardens	Brooklyn	Healthy Families		(718) 438-0008
BCA Avenue U Senior & Youth Center	Family Support,NDA Programs	40.59945561594	2072 15th Street	Brooklyn	NEW YORK	11229	-73.95655822502813	Jaime Towers	Brooklyn	Healthy Families		(718) 438-0008
Brooklyn Housing & Family Services, Inc.	Family Support,NDA Programs	40.67086337854138	1281 Saint Johns Place	Brooklyn	NEW YORK	11213	-73.9358398249695	St. Andrews Senior Housing	Brooklyn	Healthy Families		(718) 435-7585
Brooklyn Housing & Family Services, Inc.	Family Support,NDA Programs	40.64548060202624	415 Albemarle Road	Brooklyn	NEW YORK	11218	-73.97668803303637	St. Luke's	Brooklyn	Healthy Families		(718) 435-7585
Brooklyn Housing & Family Services, Inc.	Family Support,NDA Programs	40.64548060202624	415 Albemarle Road	Brooklyn	NEW YORK	11218	-73.97668803303637	Filomena Gardens	Brooklyn	Healthy Families		(718) 435-7585
Brooklyn Housing & Family Services	Family Support,NDA Programs	40.65506083208495	130 Clarkson Avenue	Brooklyn	NEW YORK	11226	-73.95545066497733	Mercy House	Brooklyn	Healthy Families		(718) 435-7585
CAMBA Healthy Families	Family Support,NDA Programs	40.64920668009701	2103 Kenmore Terrace	Brooklyn	NEW YORK	11226	-73.95941921452047	Mercy House	Brooklyn	Healthy Families		(718) 287-2600
Project Bridge	Family Support,NDA Programs	40.70259055255882	52 Wilson Avenue	Brooklyn	NEW YORK	11237	-73.9290890577379	JHS 383 PHILLIPPA SCHUYLER (K383)	Brooklyn	Healthy Families		(718) 722-6023
Dr. White Community Center	Family Support,NDA Programs	40.69828882200633	200 Gold Street	Brooklyn	NEW YORK	11201	-73.98309740031785	I S 364 GATEWAY (K364)	Brooklyn	Healthy Families		(718) 722-6023
St. John The Baptist School	Family Support,NDA Programs	40.6947019142959	82 Lewis Avenue	Brooklyn	NEW YORK	11206	-73.93742841488697	I.S 286 M	Brooklyn	Healthy Families		(718) 722-6023
Project Bridge	Family Support,NDA Programs	40.70259055255882	52 Wilson Avenue	Brooklyn	NEW YORK	11237	-73.9290890577379	IS 061 LEONARDO DA VINCI (Q061)	Brooklyn	Healthy Families		(718) 722-6023
Center for the Integration and Advancement of New Americans	Family Support,NDA Programs	40.77152402451418	31 09 Newtown Avenue	Queens	NEW YORK	11102	-73.92643545073543	Northern Manhattan Improvement Corporation	Queens	Healthy Families		(718) 545-4040
Central Brooklyn Economic Development Corporation	Family Support,NDA Programs	40.66279716995348	444 Thomas	Brooklyn	NEW YORK	11212	-73.91298489433734	Northern Manhattan Improvement Corporation	Brooklyn	Healthy Families		(718) 498-4513
Citizen	Family Support,NDA Programs	40.812893537386145	632 Southern Boulevard	Bronx	NEW YORK	10453	-73.90133270321454	OBT Bushwick	Bronx	Healthy Families		(718) 293-0727
Citizens Advice	Family Support,NDA Programs	40.84579837129786	2070 Grand	Bronx	NEW YORK	10457	-73.89832418681175	West Farm Technology and Career Center	Bronx	Healthy Families		(718) 293-0727
Citizens Advice Bureau	Family Support,NDA Programs	40.86785065240455	2925 Grand	Bronx	NEW YORK	10468	-73.89951166617763	The Classic Center	Bronx	Healthy Families		(718) 293-0727
Edith and Carl Marks Jewish Community House of Bensonhurst	Family Support,NDA Programs	40.606424326705934	7802 Bay Parkway	Brooklyn	NEW YORK	11214	-73.98919274272059	Phipps Opportunity Center	Brooklyn	Healthy Families		(718) 331-6800
Agnes Y. Humphrey School for Leadership 27 (K027)	Family Support,NDA Programs	40.677570464913735	27 HUNTINGTON STREET	Brooklyn	NEW YORK	11231	-74.00509535680479	West Farm Technology and Career Center	Brooklyn	Healthy Families		(718) 237-2017
PS 015 PATRICK F. DALY (K015)	Family Support,NDA Programs	40.67758744585575	71 SULLIVAN STREET	Brooklyn	NEW YORK	11231	-74.01192870924359	Polonians Organized to Minister to Our Community, Inc.	Brooklyn	Healthy Families		(718) 237-2017
Red Hook Youth Court Internship	Family Support,NDA Programs	40.679168772791975	88 Visitation Place	Brooklyn	NEW YORK	11231	-74.00992939933637	PSS/WSF GrandParent Family Apartment	Brooklyn	Healthy Families		(718) 237-2017
Grand Street Settlement	Family Support,NDA Programs	40.718892797836546	80 Pitt Street	New York	NEW YORK	10002	-73.98215902487652	Project Hopitality	New York	Healthy Families		(646) 201-4288
Greenhope Services for Women	Family Support,NDA Programs	40.797452112731854	448 119 Street	New York	NEW YORK	10035	-73.93292221503873	Voyagees Prepatory High School	New York	Healthy Families		(212) 996-8633
Guardians of the Sick, Inc.	Family Support,NDA Programs	40.635910755077674	5216 11th Avenue	Brooklyn	NEW YORK	11219	-73.9983983514248	Queens Community House	Brooklyn	Healthy Families		(718) 438-2020
Hebrew Educational Society	Family Support,NDA Programs	40.6326745532508	9502 Seaview Avenue	Brooklyn	NEW YORK	11236	-73.89124182389159	Queens Community in Jackson Heights	Brooklyn	Healthy Families		(718) 241-3000
Highbridge Community Life Center Family & Community Services	Family Support,NDA Programs	40.82968508600106	156 164th Street	Bronx	NEW YORK	10452	-73.92140229236581	Rego Park Center	Bronx	Healthy Families		(718) 681-2222
St. Dominic School / Italian American Civil Rights League	Family Support,NDA Programs	40.64607779528712	1460 Pennsylvania Avenue	Brooklyn	NEW YORK	11239	-73.87995018190169	Italian American Civil Rights League	Brooklyn	Healthy Families		(718) 642-2180
Jacob Riis Neighborhood Settlement House	Family Support,NDA Programs	40.74570244980828	10 25 41st Avenue	Queens	NEW YORK	11101	-73.93866902925225	Red Hook Initiative	Queens	Healthy Families		(718) 784-7447
I.S. 126 - The Albert Shanker School for the Visual and Performing Arts	Family Support,NDA Programs	40.761699790013324	31 51 21 Street	Queens	NEW YORK	11106	-73.9316632529567	R.A.I.N. Eastchester Senior Center	Queens	Healthy Families		(718) 784-7447
Make the Road New York	Family Support,NDA Programs	40.75163073936716	92 10 Roosevelt Avenue	Queens	NEW YORK	11372	-73.88361254528269	RAIN Boston Secor Senior Center	Queens	Healthy Families		(347) 243-7249
Future Now at Bronx Community College	Family Support,NDA Programs	40.83772426336412	1075 Grand	Bronx	NEW YORK	10452	-73.9233322114124	Neighborhood Association for Inter-Cultural Affairs	Bronx	Healthy Families		(718) 538-3344
Healthy Families	Family Support,NDA Programs	40.81989437325163	871 Westchester Avenue	Bronx	NEW YORK	10459	-73.90128792620881	W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL (K6	Bronx	Healthy Families		(718) 538-3344
Phipps Opportunity Center	Family Support,NDA Programs	40.822057811068916	3125 Third Avenue	Bronx	NEW YORK	10451	-73.91176496449754	PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL (K507)	Bronx	Healthy Families		(212) 243-9090
West Farm Technology and Career Center	Family Support,NDA Programs	40.840122458145274	1071 Tremont Avenue	Bronx	NEW YORK	10460	-73.87849759908211	PAUL ROBESON HIGH SCHOOL (K625)	Bronx	Healthy Families		(646) 388-8280
Polonians Organized to Minister to Our Community, Inc.	Family Support,NDA Programs	40.70122489161548	66 60 Fresh Pond Road	Queens	NEW YORK	11385	-73.88334858436963	ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A CO	Queens	Healthy Families		(718) 326-9098
Project Hopitality	Family Support,NDA Programs	40.629455779271794	514 Bay Street	Staten Island	NEW YORK	10304	-74.07666243702403	Ridgewood Bushwick Youth Center	Staten Island	Healthy Families		(718) 448-1544
SSAW	Family Support,NDA Programs	40.6763637308016	106 03 Liberty Avenue	Queens	NEW YORK	11417	-73.84454275534387	Bushwick Campus	Queens	Healthy Families		(212) 714-9153
Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.	Family Support,NDA Programs	40.575793969703795	3300 Coney Island Avenue	Brooklyn	NEW YORK	11235	-73.95950745079742	Ridgewood Bushwick Youth Center	Brooklyn	Healthy Families		(718) 646-1444
St. Raymond Community Outreach	Family Support,NDA Programs	40.84055252060703	1720 Metropolitan Avenue	Bronx	NEW YORK	10462	-73.85386559291338	RBSCC	Bronx	Healthy Families		(718) 824-0353
Bronx Family Center	Family Support,NDA Programs	40.833941446929565	1515 Southern Blvd	Bronx	NEW YORK	10460	-73.88990607790718	Riverdale Senior Services	Bronx	Healthy Families		(212) 503-6837
Dunlevy Milbank Center	Family Support,NDA Programs	40.80305812163505	14 32 West 118th Street	New York	NEW YORK	10026	-73.95334277604826	Riverstone Senior Life Services, Inc.	New York	Healthy Families		(212) 503-6837
Children's Aid Society/East Harlem Center	Family Support,NDA Programs	40.789301756378734	130 101st Street	New York	NEW YORK	10029	-73.9492064772931	SSAW	New York	Healthy Families		(212) 503-6837
MIDDLE SCHOOL 322 (M322)	Family Support,NDA Programs	40.861067654316855	4600 BROADWAY	New York	NEW YORK	10040	-73.93051856552427	BRONX LEADERSHIP ACADEMY II HIGH SCHOOL (X527)	New York	Healthy Families		(212) 949-4919
The Friends of Crown Heights Educational Centers, Inc.	Family Support,NDA Programs	40.66504895469436	36 Ford Street	Brooklyn	NEW YORK	11213	-73.92934579457828	Sauti Yetu Center for African Women	Brooklyn	Healthy Families		(718) 638-8686
The Friends of Crown Heights Educational Centers, Inc.	Family Support,NDA Programs	40.66504895469436	36 Ford Street	Brooklyn	NEW YORK	11213	-73.92934579457828	New Horizons Adullt Education Program	Brooklyn	Healthy Families		(718) 638-8686
Mirabal Sisters Cultural and Community Center Office Space	Family Support,NDA Programs	40.825013834162235	618 142 Street	New York	NEW YORK	10031	-73.95303758913792	P.S. 503/506	New York	Healthy Families		(646) 459-3002
WEME/Mainstream Meals-on-Wheels	Family Support,NDA Programs	40.7887128410752	263 86th Street	New York	NEW YORK	10024	-73.97736302500698	Middle School 136	New York	Healthy Families		(212) 362-3662
Columbus -Amsterdam Business Improvement District	Family Support,NDA Programs	40.79083445134607	991 Amsterdam Avenue	New York	NEW YORK	10024	-73.97267882585821	Shorefront Jewish Community Council	New York	Healthy Families		(212) 362-3662
Yeled V Yalda Community Center	Family Support,NDA Programs	40.64098429694321	1312 38 Street	Brooklyn	NEW YORK	11218	-73.9854115723326	Office of Senator Kruger	Brooklyn	Healthy Families		(718) 686-3700
YMPJ	Family Support,NDA Programs	40.833517940516856	1384 Stratford Avenue	Bronx	NEW YORK	10472	-73.87646631115457	Jay Harama Senior Center	Bronx	Healthy Families		(347) 851-5619
Bedford Park Multi-Service Center for Senior Citizens	NDA Programs,Senior Programs,Older Adult Program	40.87430335497695	243 204 Street	Bronx	NEW YORK	10458	-73.88453389001062	Pan American International High School (PAIHS)	Bronx	Seniors	Seniors	(718) 365-3725
BCA Bensonhurst District Office	NDA Programs,Senior Programs,Older Adult Program	40.614704025531445	6809 20th Avenue	Brooklyn	NEW YORK	11204	-73.98771039717887	HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY (X275)	Brooklyn	Seniors	Seniors	(718) 438-0008
BCA Sunset Park Asian Senior Center	NDA Programs,Senior Programs,Older Adult Program	40.64105371224104	5010 8th Avenue	Brooklyn	NEW YORK	11220	-74.00381858175466	MS 216	Brooklyn	Seniors	Seniors	(718) 438-0008
BCA 6th Avenue Senior Center	NDA Programs,Senior Programs,Older Adult Program	40.638917403201845	545 60th Street	Brooklyn	NEW YORK	11220	-74.01516632836363	PS 3 RAUL JULIA MICRO SOCIETY (X003)	Brooklyn	Seniors	Seniors	(718) 438-0008
Haber, Bernard Senior Houses	NDA Programs,Senior Programs,Older Adult Program	40.57358339616262	2410 Surf Avenue	Brooklyn	NEW YORK	11224	-73.99081935332418	South Brooklyn Legal Services, Inc.	Brooklyn	Seniors	Seniors	(800) 624-8474
Gravesend Houses	NDA Programs,Senior Programs,Older Adult Program	40.57743035209746	2793 33rd Street	Brooklyn	NEW YORK	11224	-74.0000210798692	NEW YORK HARBOR SCHOOL (K551)	Brooklyn	Seniors	Seniors	(800) 624-8474
O'Dwyer Gardens	NDA Programs,Senior Programs,Older Adult Program	40.57374914947479	2959 33rd Street	Brooklyn	NEW YORK	11224	-73.99933084108847	Los Sures	Brooklyn	Seniors	Seniors	(800) 624-8474
Manhattanville Houses Senior Center	NDA Programs,Senior Programs,Older Adult Program	40.81810690053051	530 133rd Street	New York	NEW YORK	10026	-73.95449058374143	DeWitt	New York	Seniors	Seniors	(800) 624-8474
St. Luke A.M.E Church	NDA Programs,Senior Programs,Older Adult Program	40.82951044430877	1854 Amsterdam Avenue	New York	NEW YORK	10031	-73.94448503663926	FREDERICK DOUGLASS ACADEMY (M499)	New York	Seniors	Seniors	(800) 624-8474
International Tower for Seniors	NDA Programs,Senior Programs,Older Adult Program	40.698104881734935	90 20 170th Street	Queens	NEW YORK	11433	-73.7875740339145	JHS 142 JOHN PHILIP SOUSA (X142)	Queens	Seniors	Seniors	(800) 624-8474
Baisley Park Houses	NDA Programs,Senior Programs,Older Adult Program	40.6769452621142	116 45 Guy R Brewer Boulevard	Queens	NEW YORK	11434	-73.77530690169215	CONSELYEA PREPARATORY SCHOOL (K577)	Queens	Seniors	Seniors	(800) 624-8474
South Jamaica Houses	NDA Programs,Senior Programs,Older Adult Program	40.698104881734935	106 62 160th Street	Queens	NEW YORK	11433	-73.7875740339145	IS 252 ARTHUR S SOMMERS (K252)	Queens	Seniors	Seniors	(800) 624-8474
Council of Jewish Orgainzations of Flatbush, Inc.	NDA Programs,Senior Programs,Older Adult Program	40.62192951023877	1550 Coney Island	Brooklyn	NEW YORK	11230	-73.96551106018723	St. Johns University	Brooklyn	Seniors	Seniors	(718) 377-2900
Council of Jewish Organization of Flatbush, Inc.	NDA Programs,Senior Programs,Older Adult Program	40.616970915722995	1658 Coney Island Avenue	Brooklyn	NEW YORK	11230	-73.96378533350548	Workforce Development Division	Brooklyn	Seniors	Seniors	(718) 377-2900
Council of Jewish Orgainzations of Flatbush, Inc.	NDA Programs,Senior Programs,Older Adult Program	40.61969757437525	1550 Coney Island Avenue	Brooklyn	NEW YORK	11230	-73.96431415429318	St. Raymond Community Outreach	Brooklyn	Seniors	Seniors	(718) 377-2900
Council of Jewish Organization of Flatbush, Inc.	NDA Programs,Senior Programs,Older Adult Program	40.616970915722995	1658 Coney Island Avenue	Brooklyn	NEW YORK	11230	-73.96378533350548	St. Raymond Community Outreach	Brooklyn	Seniors	Seniors	(718) 377-2900
Crown Heights Jewish Community Council	NDA Programs,Senior Programs,Older Adult Program	40.665762628592155	387 Kingston Ave	Brooklyn	NEW YORK	11225	-73.94250335499902	IS 281 JOSEPH B CAVALLARO (K281)	Brooklyn	Seniors	Seniors	(718) 771-8808
Grand Street Settlement	NDA Programs,Senior Programs,Older Adult Program	40.718892797836546	80 Pitt Street	New York	NEW YORK	10002	-73.98215902487652	JHS 227 EDWARD B SHALLOW (K227)	New York	Seniors	Seniors	(646) 201-4288
Baruch Houses (Senior Building)	NDA Programs,Senior Programs,Older Adult Program	40.717388686577515	72 Columbia Street	New York	NEW YORK	10002	-73.98001783276366	I S 187 (K187)	New York	Seniors	Seniors	(646) 201-4288
Vladeck Cares	NDA Programs,Senior Programs,Older Adult Program	40.713407305684896	351 Madison Ave	New York	NEW YORK	10002	-73.9824873659316	Stryckers Bay Neighborhood Council, Inc.	New York	Seniors	Seniors	(212) 766-9200
Good Companions Senior center	NDA Programs,Senior Programs,Older Adult Program	40.71329016943547	334 Madison Street	New York	NEW YORK	10002	-73.9830168780469	I.S. 5 - THE WALTER CROWLEY INTERMEDIATE SCHOOL (Q005)	New York	Seniors	Seniors	(212) 766-9200
Homecrest Community Services, Inc.	NDA Programs,Senior Programs,Older Adult Program	40.60123350732056	1413 Avenue	Brooklyn	NEW YORK	11229	-73.94436854117521	The Arab-American Family Support Center	Brooklyn	Seniors	Seniors	(718) 376-4036
IPR/HE Brooklyn Caregivers	NDA Programs,Senior Programs,Older Adult Program	40.68016709769277	1368 Fulton St	Brooklyn	NEW YORK	11216	-73.94592248315027	Khalil Gibran International Academy	Brooklyn	Seniors	Seniors	(212) 677-4181
Elmhurst Jackson Heights Senior Center	NDA Programs,Senior Programs,Older Adult Program	40.749678220373596	75 01 Broadway	Queens	NEW YORK	11368	-73.85304068857687	The Child Center	Queens	Seniors	Seniors	(212) 677-4181
Jewish Community Council of Greater Coney Island, Inc	NDA Programs,Senior Programs,Older Adult Program	40.573273749723825	3001 37th Street	Brooklyn	NEW YORK	11224	-74.00249064003097	Manhattan Center for Science and Mathematics	Brooklyn	Seniors	Seniors	(718) 449-5000
Sunset Park Center	NDA Programs,Senior Programs,Older Adult Program	40.64920987486405	4520 4th Avenue	Brooklyn	NEW YORK	11220	-74.0098758480672	THEATRE ARTS PRODUCTION COMPANY SCHOOL (X225)	Brooklyn	Seniors	Seniors	(718) 630-7171
Neighborhood SHOPP Casa Boricua Senior Center	NDA Programs,Senior Programs,Older Adult Program	40.83418922117395	910 172nd Street	Bronx	NEW YORK	10460	-73.89020092303998	Bronx Family Center	Bronx	Seniors	Seniors	(718) 542-0006
Thessalonia Baptist Church	NDA Programs,Senior Programs,Older Adult Program	40.82192634782304	951 Rev James A Polite Avenue	Bronx	NEW YORK	10459	-73.89896684393088	Dunlevy Milbank Center	Bronx	Seniors	Seniors	(718) 542-0006
Highbridge Gardens	NDA Programs,Senior Programs,Older Adult Program	40.837511653670184	1145 University Avenue	Bronx	NEW YORK	10452	-73.92789536068916	Children's Aid Society/East Harlem Center	Bronx	Seniors	Seniors	(718) 542-0006
Morrisania Air Rights Housing Development	NDA Programs,Senior Programs,Older Adult Program	40.82412876930059	3135 Park Avenue	Bronx	NEW YORK	10451	-73.91722758822324	MIDDLE SCHOOL 322 (M322)	Bronx	Seniors	Seniors	(718) 542-0006
Concourse Gardens	NDA Programs,Senior Programs,Older Adult Program	40.849696042918474	245 Echo Place	Bronx	NEW YORK	10457	-73.90433764541396	East New York Learning Center, Inc.	Bronx	Seniors	Seniors	(718) 542-0006
Jonas Bronck Housing for Seniors	NDA Programs,Senior Programs,Older Adult Program	40.850932139823	230 179th Street	Bronx	NEW YORK	10457	-73.90396112056916	The Friends of Crown Heights Educational Centers, Inc.	Bronx	Seniors	Seniors	(718) 542-0006
Sedgwick Houses	NDA Programs,Senior Programs,Older Adult Program	40.846198715707054	1553 University Avenue	Bronx	NEW YORK	10453	-73.9216904224817	The Friends of Crown Heights Educational Centers, Inc.	Bronx	Seniors	Seniors	(718) 542-0006
SEBCO St Barnabas Senior Housing	NDA Programs,Senior Programs,Older Adult Program	40.85324152032098	535 182nd Street	Bronx	NEW YORK	10457	-73.89297277673356	Tolentine-Zeiser Community Center/St. Ritas	Bronx	Seniors	Seniors	(718) 542-0006
SEBCO Father Banome Senior Housing	NDA Programs,Senior Programs,Older Adult Program	40.84437955848369	1876 Belmont Avenue	Bronx	NEW YORK	10457	-73.89321056070584	Turning Point HDFC (Main Office)	Bronx	Seniors	Seniors	(718) 542-0006
Father David Cassella Plaza	NDA Programs,Senior Programs,Older Adult Program	40.84387567217008	961 180 Street	Bronx	NEW YORK	10460	-73.88035054041468	U.C.C. Immigration Program	Bronx	Seniors	Seniors	(718) 542-0006
Aquinas Housing for Seniors	NDA Programs,Senior Programs,Older Adult Program	40.84107597858368	975 Tremont Avenue	Bronx	NEW YORK	10460	-73.88228012287159	United Jewish Orgnization of Williamsburg	Bronx	Seniors	Seniors	(718) 542-0006
Clinton Senior Housing	NDA Programs,Senior Programs,Older Adult Program	40.84726877920528	2070 Clinton Avenue	Bronx	NEW YORK	10457	-73.8880563494758	Project Home	Bronx	Seniors	Seniors	(718) 542-0006
Lafayette Estates	NDA Programs,Senior Programs,Older Adult Program	40.82073649926795	825 Morrison Avenue	Bronx	NEW YORK	10473	-73.87266210628528	Mothers on the Move	Bronx	Seniors	Seniors	(718) 542-0006
San Andres Church	NDA Programs,Senior Programs,Older Adult Program	40.8130069544523	351 Soundview Avenue	Bronx	NEW YORK	10473	-73.85738998185833	Mirabal Sisters Cultural and Community Center Office Space	Bronx	Seniors	Seniors	(718) 542-0006
Carol Gardens	NDA Programs,Senior Programs,Older Adult Program	40.82327888267286	880 Thieriot Avenue	Bronx	NEW YORK	10473	-73.86241277558031	Mirabal Sisters Cultural and Community Center Office Space	Bronx	Seniors	Seniors	(718) 542-0006
Jaime Towers	NDA Programs,Senior Programs,Older Adult Program	40.82049015838661	2050 Seward Avenue	Bronx	NEW YORK	10473	-73.85308993692624	David Ruggles I.S. 258	Bronx	Seniors	Seniors	(718) 542-0006
